IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.6,65.0,9.0,Ya,Menengah,P,Tidak,Ya
2.76,75.0,16.2,Ya,Tinggi,L,Ya,Ya
2.61,66.0,12.6,Tidak,Tinggi,P,Tidak,Ya
2.65,75.0,10.9,Ya,Menengah,P,Tidak,Ya
2.77,74.0,11.6,Ya,Menengah,L,Tidak,Ya
3.36,72.0,12.9,Tidak,Menengah,P,Tidak,Ya
3.11,,13.0,Tidak,Rendah,P,Tidak,Ya
2.8,75.0,8.5,Tidak,Tinggi,P,Ya,Ya
2.44,64.0,7.8,Ya,Menengah,L,Tidak,Ya
2.91,73.0,14.9,Ya,Rendah,L,Tidak,Ya
2.82,69.0,8.9,Tidak,Rendah,L,Tidak,Tidak
3.0,81.0,6.8,Ya,Tinggi,P,Tidak,Ya
2.43,60.0,12.3,Ya,Rendah,P,Tidak,Tidak
3.06,80.0,12.4,Ya,Rendah,P,Ya,Ya
,44.0,4.4,Ya,Rendah,L,Tidak,Tidak
2.96,73.0,11.4,Tidak,Rendah,L,Tidak,Ya
3.48,,13.4,Tidak,Rendah,P,Ya,Ya
2.99,79.0,13.5,Tidak,Menengah,L,Tidak,Tidak
3.57,75.0,13.0,Ya,Rendah,P,Tidak,Ya
2.2,60.0,6.9,,Tinggi,P,Tidak,Tidak
3.1,75.0,13.8,Ya,Tinggi,P,Tidak,Ya
2.77,68.0,10.8,Ya,Menengah,L,Ya,Ya
2.52,60.0,8.6,Ya,Rendah,P,Tidak,Ya
3.05,74.0,15.5,Ya,Menengah,P,Tidak,Ya
3.26,80.0,16.4,Ya,Rendah,P,Tidak,Ya
3.53,74.0,19.2,Tidak,Menengah,L,Ya,Ya
3.6,72.0,17.8,Tidak,,L,Tidak,Ya
2.7,59.0,12.1,Ya,Tinggi,L,Tidak,Tidak
3.32,78.0,13.4,Ya,Menengah,L,Ya,Ya
2.86,79.0,13.6,Tidak,Rendah,P,Ya,Ya
3.22,75.0,12.5,Tidak,Menengah,P,Tidak,Ya
2.84,82.0,12.5,Tidak,Menengah,P,Tidak,Ya
3.48,77.0,15.3,Ya,Menengah,L,Ya,Ya
3.65,75.0,11.8,Tidak,Menengah,L,Tidak,Ya
2.61,69.0,7.6,Ya,Rendah,L,Tidak,Tidak
1.97,67.0,,Ya,Rendah,L,Tidak,Tidak
